@relation student-mat-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last

@attribute school=MS numeric
@attribute sex=M numeric
@attribute age numeric
@attribute address=U numeric
@attribute famsize=LE3 numeric
@attribute pstatus=T numeric
@attribute medu numeric
@attribute fedu numeric
@attribute mjob=at_home numeric
@attribute mjob=health numeric
@attribute mjob=other numeric
@attribute mjob=services numeric
@attribute mjob=teacher numeric
@attribute fjob=at_home numeric
@attribute fjob=health numeric
@attribute fjob=other numeric
@attribute fjob=services numeric
@attribute fjob=teacher numeric
@attribute reason=course numeric
@attribute reason=home numeric
@attribute reason=other numeric
@attribute reason=reputation numeric
@attribute guardian=father numeric
@attribute guardian=mother numeric
@attribute guardian=other numeric
@attribute traveltime numeric
@attribute studytime numeric
@attribute failures numeric
@attribute schoolsup=yes numeric
@attribute famsup=yes numeric
@attribute paid=yes numeric
@attribute activities=yes numeric
@attribute nursery=yes numeric
@attribute higher=yes numeric
@attribute internet=yes numeric
@attribute romantic=yes numeric
@attribute famrel numeric
@attribute freetime numeric
@attribute goout numeric
@attribute dalc numeric
@attribute walc numeric
@attribute health numeric
@attribute absences numeric
@attribute g1=10 numeric
@attribute g1=11 numeric
@attribute g1=12 numeric
@attribute g1=13 numeric
@attribute g1=14 numeric
@attribute g1=15 numeric
@attribute g1=16 numeric
@attribute g1=17 numeric
@attribute g1=18 numeric
@attribute g1=19 numeric
@attribute g1=3 numeric
@attribute g1=4 numeric
@attribute g1=5 numeric
@attribute g1=6 numeric
@attribute g1=7 numeric
@attribute g1=8 numeric
@attribute g1=9 numeric
@attribute g2=0 numeric
@attribute g2=10 numeric
@attribute g2=11 numeric
@attribute g2=12 numeric
@attribute g2=13 numeric
@attribute g2=14 numeric
@attribute g2=15 numeric
@attribute g2=16 numeric
@attribute g2=17 numeric
@attribute g2=18 numeric
@attribute g2=19 numeric
@attribute g2=4 numeric
@attribute g2=5 numeric
@attribute g2=6 numeric
@attribute g2=7 numeric
@attribute g2=8 numeric
@attribute g2=9 numeric
@attribute g3 {0,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
0,0,18,1,0,0,4,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
0,0,17,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
0,0,15,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
0,0,15,1,0,1,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
0,0,16,1,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,1,16,1,1,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
0,1,16,1,1,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,17,1,0,0,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
0,1,15,1,1,0,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19
0,1,15,1,0,1,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
0,0,15,1,0,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
0,0,15,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,1,15,1,1,1,4,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
0,1,15,1,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,1,15,1,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
