k = 1, k-nn accuracy: 0.26
k = 2, k-nn accuracy: 0.49
k = 3, k-nn accuracy: 0.51
k = 4, k-nn accuracy: 0.47
k = 5, k-nn accuracy: 0.45
k = 6, k-nn accuracy: 0.50
k = 7, k-nn accuracy: 0.52
k = 8, k-nn accuracy: 0.53
k = 9, k-nn accuracy: 0.49
k = 10, k-nn accuracy: 0.44
k = 11, k-nn accuracy: 0.45
k = 12, k-nn accuracy: 0.47
k = 13, k-nn accuracy: 0.44
k = 14, k-nn accuracy: 0.34
k = 15, k-nn accuracy: 0.27
k = 16, k-nn accuracy: 0.41
k = 17, k-nn accuracy: 0.38
k = 18, k-nn accuracy: 0.39
k = 19, k-nn accuracy: 0.44
k = 20, k-nn accuracy: 0.22
k = 21, k-nn accuracy: 0.22
k = 22, k-nn accuracy: 0.17
k = 23, k-nn accuracy: 0.17
k = 24, k-nn accuracy: 0.17
k = 25, k-nn accuracy: 0.16
k = 26, k-nn accuracy: 0.15
