k = 1, k-nn accuracy: 0.12
k = 2, k-nn accuracy: 0.02
k = 3, k-nn accuracy: 0.07
k = 4, k-nn accuracy: 0.19
k = 5, k-nn accuracy: 0.24
k = 6, k-nn accuracy: 0.27
k = 7, k-nn accuracy: 0.28
k = 8, k-nn accuracy: 0.35
k = 9, k-nn accuracy: 0.31
k = 10, k-nn accuracy: 0.26
k = 11, k-nn accuracy: 0.24
k = 12, k-nn accuracy: 0.27
k = 13, k-nn accuracy: 0.32
k = 14, k-nn accuracy: 0.27
k = 15, k-nn accuracy: 0.22
k = 16, k-nn accuracy: 0.17
k = 17, k-nn accuracy: 0.20
k = 18, k-nn accuracy: 0.30
k = 19, k-nn accuracy: 0.35
k = 20, k-nn accuracy: 0.36
k = 21, k-nn accuracy: 0.31
k = 22, k-nn accuracy: 0.34
k = 23, k-nn accuracy: 0.28
k = 24, k-nn accuracy: 0.33
k = 25, k-nn accuracy: 0.38
k = 26, k-nn accuracy: 0.38
